,cell name,mouse,sex,stress,RMP,IR,adaptation,latency,isi_cv,mean_isi,FR_20,FR_40,FR_60,FR_80,FR_100,FR_120,FR_140,FR_160,FR_180,FR_200
0,m022 s2c2 +,607-022,male,stress,-68.23740345157094,273.7639433919009,0.016888272155308127,0.5357424733981797,0.1075506231979971,0.031777840635930595,0.0,7.333333333333333,18.0,26.0,28.0,26.666666666666668,24.0,21.666666666666668,19.333333333333332,15.666666666666666
0,m022 s2c1 +,607-022,male,stress,-64.70035827486659,223.63544135867917,-0.05625195475151678,0.5904149374135373,0.1743358441225101,0.05739589362394166,0.0,3.6666666666666665,8.333333333333334,11.333333333333334,14.666666666666666,18.0,21.333333333333332,24.0,25.0,27.333333333333332
0,m022 s1c4 +,607-022,male,stress,-63.25206332497144,283.0365164476554,0.044002515312154204,0.5240595363101488,0.18209595728288197,0.04322497141314441,0.0,0.0,8.666666666666666,16.666666666666668,24.0,31.333333333333332,38.0,44.0,49.333333333333336,53.333333333333336
0,m022 s3c2 +,607-022,male,stress,-68.22365552242616,356.98657631411,0.0872816333345187,0.5340745298134472,0.274082168357617,0.050145512339919325,0.0,0.0,1.3333333333333333,7.666666666666667,12.333333333333334,17.666666666666668,24.0,27.666666666666668,26.333333333333332,17.666666666666668
0,m111 s1c2,756-L,male,naive,-61.79670513135647,369.5643403075563,0.05974805079391755,0.5294042479901773,0.2691133637173734,0.04990288493548408,0.6666666666666666,6.0,12.666666666666666,18.666666666666668,24.0,28.0,32.666666666666664,36.666666666666664,40.666666666666664,44.0
0,m111 s1c1,756-L,male,naive,-60.25859914033577,151.66921677600567,0.10489662579802031,0.5195168849351558,0.29028029766805247,0.06848850726580327,0.0,0.0,1.3333333333333333,5.333333333333333,10.0,14.0,18.666666666666668,22.666666666666668,28.0,32.0
0,m111 s3c4,756-L,male,naive,-84.40755568880259,230.9199725936406,-0.001706114390347667,0.7218997313502039,0.05196999031179034,0.09777705551944263,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.333333333333333,8.666666666666666,12.666666666666666
0,m111 s2c2,756-L,male,naive,-67.89227838212955,348.3765841263326,0.06738732346487318,0.5270180175675451,0.27208897293294215,0.06560526627192644,0.0,0.0,4.666666666666667,10.666666666666666,16.666666666666668,22.0,26.666666666666668,30.0,34.666666666666664,36.0
0,m111 s3c2,756-L,male,naive,-67.8090783935618,287.688192182777,0.017002376597743635,0.604943580512359,0.12996415146672685,0.046759407243292785,0.0,0.0,0.0,0.0,2.6666666666666665,8.666666666666666,17.333333333333332,32.0,40.666666666666664,48.0
0,m111 s2c1,756-L,male,naive,-67.17404965422715,276.3457642760675,0.26676747153760816,0.5162877191478621,0.17382026027662323,0.0253590804540227,0.0,0.0,0.0,2.0,2.6666666666666665,4.0,4.666666666666667,5.333333333333333,6.666666666666667,7.333333333333333
0,m111 s3c1,756-L,male,naive,-64.79141354088301,319.01053536932125,0.21462562536210794,0.5301635452142976,0.25601583241750225,0.02135970996080668,0.0,5.333333333333333,7.333333333333333,8.0,8.0,7.333333333333333,6.0,6.666666666666667,6.0,6.0
0,m111 s1c3,756-L,male,naive,-80.0125184034122,373.81782686445575,0.20450100890077783,0.5508884139859167,0.3892001671078106,0.07548697961593606,0.0,0.0,2.0,7.333333333333333,11.333333333333334,14.0,16.0,18.0,18.666666666666668,18.0
0,m011 s3c1 +,608-011,male,naive,-52.233339850744116,242.4762709968778,0.017958332936678523,0.5595125910141661,0.11263619843246468,0.04850104682408798,0.0,1.3333333333333333,9.333333333333334,15.333333333333334,20.0,24.0,26.0,27.333333333333332,28.666666666666668,27.333333333333332
0,m011 s2c1 +,608-011,male,naive,-72.88053992668901,296.4519774987208,-0.007313775297816497,0.5532215386279518,0.23226446715679103,0.04271454925110745,3.6666666666666665,14.333333333333334,19.333333333333332,17.666666666666668,24.0,29.0,34.333333333333336,30.666666666666668,33.666666666666664,33.0
0,m110 s1c2,751-R,female,stress,-67.06718649087935,460.0466825170459,0.10564145802917894,0.5435493996922068,0.1506179702736132,0.025029214423684137,0.0,14.5,17.0,14.0,12.0,10.5,9.0,8.0,8.5,7.0
0,m110 s3c2,751-R,female,stress,-58.599778514654986,337.9790274903119,0.05758833566640927,0.5220961048052403,0.20233341431540688,0.03188475041467691,8.0,22.0,28.0,32.0,24.0,18.0,16.0,14.0,12.0,8.0
0,m110 s3c1,751-R,female,stress,-65.73598322697076,483.4790770755457,0.02574492360890229,0.5225409418619079,0.19025931124283837,0.035896635537815996,0.0,9.333333333333334,17.333333333333332,26.666666666666668,34.0,42.0,49.333333333333336,54.0,60.0,64.66666666666667
0,m110 s1c1,751-R,female,stress,-71.22760031785803,234.41426605146353,-0.0023918368195593362,0.6071829907284837,0.07646305409051167,0.06581936137913937,0.0,0.0,0.0,0.6666666666666666,6.0,11.333333333333334,16.0,19.333333333333332,22.666666666666668,26.0
0,m110 s2c3,751-R,female,stress,-62.18462063631069,305.2515381585881,0.04209288123486531,0.5266721669416804,0.16078956162927938,0.055605179218544756,0.0,0.0,2.0,8.666666666666666,13.333333333333334,18.666666666666668,22.0,26.0,30.666666666666668,34.666666666666664
0,m110 s2c1,751-R,female,stress,-59.51192813793223,343.954689463928,0.05750165714541574,0.5208371529687595,0.3099805486460628,0.045115363268264375,0.0,8.666666666666666,14.666666666666666,19.333333333333332,26.0,30.0,32.666666666666664,36.0,34.0,32.0
0,m110 s2c2,751-R,female,stress,-51.424356925511404,277.45497468905273,0.09167427098067027,0.5230780057521395,0.35758047670448256,0.045611294150826875,0.0,2.0,8.666666666666666,15.333333333333334,20.666666666666668,24.666666666666668,30.0,34.0,34.666666666666664,33.333333333333336
0,m110 s3c3,751-R,female,stress,-51.39438037480923,166.88296995545969,0.0333785121455148,0.5206493658016235,0.2086310299121853,0.04463856004176617,5.333333333333333,14.666666666666666,22.666666666666668,30.0,37.333333333333336,42.666666666666664,46.0,37.333333333333336,20.666666666666668,16.0
0,m006 s2c6 +,611-006,male,stress,-60.15402505503929,226.52137402813887,0.10507145561907395,0.5242619273820833,0.23930050039871117,0.06295176874902289,1.3333333333333333,6.666666666666667,11.333333333333334,16.0,21.333333333333332,18.666666666666668,16.0,8.666666666666666,8.0,8.0
0,m006 s2c2 +,611-006,male,stress,-71.1932307586847,582.6473049452125,0.10846257926219192,0.521670527970843,0.3389949728054503,0.0304299839729389,0.0,12.666666666666666,18.666666666666668,24.0,25.333333333333332,26.0,16.0,9.333333333333334,7.333333333333333,7.333333333333333
0,m006 s4c1 + (mz_s2c1),611-006,male,stress,-69.61110798596549,441.61925608813476,0.04210989719703965,0.534303638258836,0.19361732276046123,0.04383194271378649,0.0,2.0,12.0,21.333333333333332,27.333333333333332,33.333333333333336,36.666666666666664,40.0,42.666666666666664,42.0
0,m006 s2c7 +,611-006,male,stress,-47.77492892164752,398.5134941200972,0.07847266632119236,0.5122789472806973,0.20191896197420098,0.03691708755711955,4.666666666666667,10.0,15.333333333333334,18.666666666666668,20.0,12.666666666666666,9.333333333333334,10.0,7.333333333333333,8.0
0,m021 s1c3 +,608-021,male,naive,-61.96532947278775,250.2976151234936,0.2831023735847045,0.529584812573962,0.435341225689266,0.043199898090142616,0.0,0.0,2.0,3.3333333333333335,4.666666666666667,6.0,9.333333333333334,10.666666666666666,11.333333333333334,16.0
0,m021 s2c3 +,608-021,male,naive,-60.92623641533165,375.96277898972204,0.05392321536043202,0.5361798702180006,0.24645388397843565,0.05100106176246717,0.0,3.0,8.333333333333334,16.333333333333332,21.0,25.333333333333332,23.0,22.333333333333332,20.666666666666668,17.666666666666668
0,m021 s1c2 +,608-021,male,naive,-71.36771984640797,303.5358759509086,-0.03255636787535907,0.6081071495435237,0.09601038196936895,0.04955019838946727,0.0,0.3333333333333333,5.0,10.666666666666666,14.666666666666666,18.0,22.0,24.666666666666668,27.0,29.0
0,m021 s2c6 +,608-021,male,naive,-68.68526582879288,178.0869363824255,0.36052755650397944,0.5260929713152324,0.13866444480922288,0.01926506581739345,0.0,0.0,2.0,3.3333333333333335,3.6666666666666665,4.333333333333333,5.333333333333333,5.0,5.333333333333333,5.0
0,m021 s2c2 +,608-021,male,naive,-64.39568231225444,451.9491328789552,0.14522705871396166,0.5454539393636348,0.2889401779477425,0.032815736591818245,3.3333333333333335,12.666666666666666,19.333333333333332,19.333333333333332,14.666666666666666,11.333333333333334,10.0,8.666666666666666,8.666666666666666,8.666666666666666
0,m021 s2c7 +,608-021,male,naive,-66.08809271432206,228.2545233811477,0.05639753608380205,0.5336141807090354,0.18344428421605127,0.07098032398065257,0.0,0.0,2.0,7.666666666666667,11.0,14.333333333333334,17.333333333333332,20.666666666666668,23.666666666666668,26.666666666666668
0,m021 s1c1 +,608-021,male,naive,-59.36500194014059,224.6857896313063,0.1258600656965236,0.5332974982082437,0.2354409342916836,0.04636705758190404,0.0,0.0,2.0,7.333333333333333,10.0,10.666666666666666,12.0,9.333333333333334,7.333333333333333,8.666666666666666
0,m112 s1c1,751-L,female,stress,-56.56969870317997,407.7855881308007,0.06391179402243394,0.5357967898394919,0.5930144857822296,0.03535736463342275,8.0,17.333333333333332,24.666666666666668,30.0,33.333333333333336,35.333333333333336,35.333333333333336,30.666666666666668,26.0,20.666666666666668
0,m112 s4c1,751-L,female,stress,-62.23914822975806,146.3889346052477,0.04962223542023081,0.5227023255924701,0.2388926215846301,0.04680084634595518,0.0,0.0,0.6666666666666666,4.0,10.666666666666666,18.666666666666668,25.333333333333332,31.333333333333332,38.0,41.333333333333336
0,m112 s3c2,751-L,female,stress,-69.94461161925602,304.2545886320244,-0.004659683132940717,0.5648753025886588,0.20157211744711193,0.03480160658637228,0.0,3.0,15.0,24.0,27.0,27.0,29.0,30.0,26.0,22.0
0,m112 s2c1,751-L,female,stress,-69.6965990165998,235.68501600299953,-0.0007945628045400681,0.5815665783289163,0.06702538073329185,0.09299857320908371,0.0,0.0,0.0,0.0,0.6666666666666666,5.333333333333333,9.333333333333334,12.0,16.0,17.333333333333332
0,m112 s4c2,751-L,female,stress,-82.83269552337802,137.89081388511522,0.008719494254284586,0.6592784184663777,0.054518497178338815,0.06587182505978446,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,4.666666666666667,9.333333333333334,14.666666666666666,20.0
0,m112 s3c1,751-L,female,stress,-49.63211652776971,539.147654466156,0.06894810680018967,0.5361101388402754,0.2242962049217169,0.0274965689894472,5.333333333333333,18.0,27.333333333333332,31.333333333333332,34.0,31.333333333333332,23.333333333333332,15.333333333333334,10.666666666666666,8.666666666666666
0,m112 s2c2,751-L,female,stress,-55.11405028103841,256.8301577195954,0.041809197824272004,0.527776388819441,0.22315935655666508,0.0368737920045876,0.0,9.0,18.0,25.0,30.0,37.0,45.0,49.0,54.0,58.0
0,m112 s3c3,751-L,female,stress,-78.94483488302987,229.09091417260709,-0.017071105888023335,0.6071566736231548,0.09433278008655298,0.105006716385202,0.0,0.0,0.0,0.6666666666666666,4.0,8.0,10.0,14.666666666666666,17.333333333333332,21.333333333333332
0,m112 s3c4,751-L,female,stress,-48.510920186531806,238.988367550439,0.011321021027894626,0.5222439693413242,0.16557228708203744,0.03646740901696293,2.0,12.0,22.666666666666668,32.0,37.333333333333336,44.666666666666664,48.666666666666664,53.333333333333336,57.333333333333336,60.0
0,m114 s2c4,758-L,female,naive,-75.67234742507915,242.89275354047308,-0.02959380194563248,0.6189365023806745,0.09536782787652481,0.07207150536098234,0.0,0.0,0.0,0.0,2.6666666666666665,8.0,12.0,16.666666666666668,22.0,26.0
0,m114 s2c5,758-L,female,naive,-66.46486454593807,251.39902990783978,0.14098687753066458,0.5218177575545444,0.37136584683420615,0.0581166842988059,0.0,0.0,2.0,6.0,12.0,16.666666666666668,21.333333333333332,24.666666666666668,28.0,30.666666666666668
0,m114 s1c1,758-L,female,naive,-67.02525382585046,242.5431009680095,0.011226665165973624,0.5274490997277136,0.16222647902763387,0.04911469591328919,0.0,0.0,2.0,11.333333333333334,19.333333333333332,25.333333333333332,29.333333333333332,32.0,34.666666666666664,35.333333333333336
0,m114 s2c6,758-L,female,naive,-72.3154696158103,241.95305549123586,-0.01046195538050183,0.5319432638298581,0.13412258230483726,0.06288692943484016,0.0,0.0,0.0,4.666666666666667,11.333333333333334,17.333333333333332,18.0,20.666666666666668,24.666666666666668,25.333333333333332
