cell.name,mouse,sex,stress,RMP,adaptation,latency,FR_20,FR_40,FR_60,FR_80,FR_100,FR_120,FR_140,FR_160,FR_180,FR_200,cluster
m022 s2c2 +,607-022,male,stress,-0.361742162982649,-0.566507829171631,-0.420973083248159,-0.360709323073022,0.403772486158404,1.06818213311602,1.3625645412606,1.20584638638878,0.759347587277238,0.29870632178502,-0.0246667304881127,-0.290508731694755,-0.588072838156161,1
m022 s2c1 +,607-022,male,stress,0.0330338674210075,-1.49763071157658,0.75096319428064,-0.360709323073022,-0.146741118336813,-0.0147356575733799,-0.08859257008253,-0.0734390746205908,-0.0178513538080296,0.0753304909580435,0.160349222909552,0.120764380615772,0.201785036045675,3
m022 s1c4 +,607-022,male,stress,0.194680694817767,-0.221325795834579,-0.671403680224803,-0.360709323073022,-0.697254722832031,0.022606335209013,0.439100924951337,0.822060748085969,1.17783932478469,1.47142943362665,1.74620025203239,1.88681950994921,1.96203972712405,1
m022 s3c2 +,607-022,male,stress,-0.360207731664159,0.329645657566362,-0.456726430587148,-0.360709323073022,-0.697254722832031,-0.798917506003633,-0.451381847918313,-0.297314030297231,-0.0477436207728475,0.29870632178502,0.451088578248739,0.217534524688837,-0.452668631150132,3
m111 s1c2,756-L,male,naive,0.357115863662878,-0.020874840145504,-0.556836655972927,-0.126007790193509,0.203585720887416,0.470710248597729,0.636985985589037,0.822060748085969,0.87891665513651,1.0246777719727,1.16472154135402,1.25781357347429,1.33015342776258,1
m111 s1c1,756-L,male,naive,0.528786664328477,0.553896022239849,-0.768778072222663,-0.360709323073022,-0.697254722832031,-0.798917506003633,-0.68224775199563,-0.521188985973871,-0.376558557385845,-0.148045339868933,0.0546258209680293,0.338497204780169,0.517728185726409,1
m111 s3c4,756-L,male,naive,-2.16652219612462,-0.803226520501357,3.56941673817969,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.2099412470295,-1.4806530817309,-1.6320337699082,-1.54414428253754,-1.31977840427177,-1.06466988427928,-0.791179148665204,3
m111 s2c2,756-L,male,naive,-0.323222127727174,0.0763780928802453,-0.607986902247542,-0.360709323073022,-0.697254722832031,-0.425497578179703,-0.154554256961763,0.118453744530815,0.340855849769786,0.522082152611998,0.636104531646404,0.822347925145494,0.788536599738467,1
m111 s3c2,756-L,male,naive,-0.313936026030558,-0.565055205057255,1.06239316579234,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.2099412470295,-1.22479598952902,-0.854834828822933,-0.259733255282422,0.794689634558688,1.25781357347429,1.60096184177464,3
m111 s2c1,756-L,male,naive,-0.243059316126513,2.61461766389376,-0.837997131587196,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.0120561863918,-1.22479598952902,-1.27332656633038,-1.32076845171056,-1.31977840427177,-1.20982510038887,-1.15225703401461,2
m111 s3c1,756-L,male,naive,0.0228710239543582,1.95081788970524,-0.540560675396606,-0.360709323073022,0.103492338251922,-0.126761635920559,-0.418401004478697,-0.713081805125276,-0.974403896682205,-1.20908053629707,-1.21405500233024,-1.25821017242541,-1.24252650535197,2
m111 s1c3,756-L,male,naive,-1.67598410957998,1.82192490616654,-0.0963109786267393,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.48436269135793,-0.393260439872933,-0.376558557385845,-0.37142117069591,-0.3154060858273,-0.338893803731287,-0.430101263315794,3
m011 s3c1 +,608-011,male,naive,1.42450041606999,-0.552885256187719,0.0885533055291175,-0.360709323073022,-0.497067957561043,0.0972903207737991,0.30717755119287,0.438275109783158,0.520209451558694,0.466238194905253,0.424657727763358,0.386882276816701,0.201785036045675,1
m011 s2c1 +,608-011,male,naive,-0.879971050287232,-0.874615708210107,-0.0462990858532727,0.930149107764301,1.45475300383109,1.21755010424559,0.538043455270187,0.822060748085969,0.968593456030964,1.16428766623956,0.688966232617165,0.749770317090695,0.585430289229424,1
m110 s1c2,751-R,female,stress,-0.231132124554104,0.563378223257191,-0.253627047090106,-0.360709323073022,1.47977634948997,0.956156154768838,0.175254177434403,-0.329296166822465,-0.690427360516434,-0.957782726616724,-1.10833160038872,-1.07676615228841,-1.17482440184895,2
m110 s3c2,751-R,female,stress,0.713930644414177,-0.0483694249963397,-0.713490984144357,2.45570907148114,2.60582690413928,2.18844191658781,1.9562197231737,0.822060748085969,-0.0178513538080296,-0.37142117069591,-0.632576291651868,-0.822744524096613,-1.10712229834594,2
m110 s3c1,751-R,female,stress,-0.0825541127018812,-0.453756868740073,-0.703955641377448,-0.360709323073022,0.704052634064887,0.993498147551231,1.42852622813984,1.781524843843,2.13439186765887,2.4207767146413,2.53912576659381,2.66098066253373,2.72933023349155,1
m110 s1c1,751-R,female,stress,-0.695483461163683,-0.811956215114291,1.11039623497554,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.14397956015026,-0.904974624276682,-0.615696693104389,-0.37142117069591,-0.209682683885778,-0.0485833715120919,0.111515564708322,3
m110 s2c3,751-R,female,stress,0.313819910253386,-0.245636685499293,-0.61540041291249,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.352439317599464,-0.201367620721528,0.0419331801216065,0.131174448664788,0.318934325821836,0.532037492926299,0.698267128401114,3
m110 s2c1,751-R,female,stress,0.612123969796834,-0.0494728992091408,-0.740477353890173,-0.360709323073022,0.603959251429393,0.694762205292087,0.70294767246827,1.01395356723737,1.05827025692542,1.0246777719727,1.11185984038326,0.773962853108962,0.517728185726409,1
m110 s2c2,751-R,female,stress,1.51479246831493,0.385566805194952,-0.692443362433219,-0.360709323073022,-0.396974574925549,0.022606335209013,0.30717755119287,0.502239382833626,0.57999398548833,0.801301941145719,0.953274737470972,0.822347925145494,0.607997657063762,1
m110 s3c3,751-R,female,stress,1.51813820553348,-0.35657629845884,-0.744502681769292,1.51690293996308,1.50479969514884,1.59097003206952,1.758334662536,2.10134620909534,2.1941764015885,2.14155692610758,1.21758324232478,-0.19373858762169,-0.565505470321823,1
m006 s2c6 +,611-006,male,stress,0.540458367745877,0.556121720105364,-0.667065309095574,0.108693742686004,0.30367910352291,0.321342277468157,0.373139238072103,0.566203655884095,0.0419331801216065,-0.37142117069591,-1.05546989941796,-1.11305495631581,-1.10712229834594,2
m006 s2c2 +,611-006,male,stress,-0.691647412298225,0.599292940030537,-0.722613472769818,-0.360709323073022,1.20451954724236,1.1428661186808,1.1646794806229,0.949989294186906,0.699563053347602,-0.37142117069591,-1.0026081984472,-1.16144002835234,-1.15225703401461,2
m006 s4c1 + (mz_s2c1),611-006,male,stress,-0.515063818755527,-0.24542006118164,-0.451815356914596,-0.360709323073022,-0.396974574925549,0.396026263032943,0.90083273310597,1.14188211333831,1.3571929265736,1.35974151821316,1.42903004620782,1.40296878958388,1.19474922075655,1
m006 s2c7 +,611-006,male,stress,1.92211174998486,0.217501751219072,-0.923927503742136,1.28220140708357,0.804146016700381,0.769446190856873,0.636985985589037,0.438275109783158,-0.496127625245117,-0.929860747763352,-0.949746497476436,-1.16144002835234,-1.10712229834594,2
m021 s1c3 +,608-021,male,naive,0.338295394934316,2.82257164108433,-0.552966148396852,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.88013281263333,-1.03290317037762,-1.09397296454148,-0.929860747763352,-0.896884796505675,-0.871129596133146,-0.565505470321823,2
m021 s2c3 +,608-021,male,naive,0.454270456588669,-0.0950288014843282,-0.411597226314404,-0.360709323073022,-0.246834500972308,-0.0147356575733799,0.40612008151172,0.53422151935886,0.639778519417966,0.214940385224904,0.0281949704826484,-0.19373858762169,-0.452668631150132,1
m021 s1c2 +,608-021,male,naive,-0.711122456002452,-1.19597040663232,1.13020612028159,-0.360709323073022,-0.647208031514284,-0.38815558539731,-0.154554256961763,-0.0734390746205908,-0.0178513538080296,0.131174448664788,0.213210923880313,0.26591959672537,0.314621875217366,3
m021 s2c6 +,608-021,male,naive,-0.411728895584001,3.80824481355569,-0.627815810291138,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.88013281263333,-1.12884957995332,-1.24343429936557,-1.26492449400382,-1.34620925475715,-1.30659524446194,-1.31022860885498,2
m021 s2c2 +,608-021,male,naive,0.0670393044653565,1.06732878740162,-0.212802124103056,0.812798341324544,1.20451954724236,1.21755010424559,0.70294767246827,-0.0734390746205908,-0.615696693104389,-0.874016790056608,-1.05546989941796,-1.06466988427928,-1.06198756267726,2
m021 s2c7 +,608-021,male,naive,-0.121853691514027,-0.0635290818174261,-0.466594283179935,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.451381847918313,-0.425242576398168,-0.346666290421027,-0.259733255282422,-0.103959281944255,0.0239942365427069,0.156650300376999,3
m021 s1c1 +,608-021,male,naive,0.628522669340879,0.820774310822187,-0.473382558005671,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.48436269135793,-0.521188985973871,-0.675481227034025,-0.706484916936375,-1.0026081984472,-1.16144002835234,-1.06198756267726,2
m112 s1c1,751-L,female,stress,0.940511535903791,0.0321323319742819,-0.419808778525729,2.45570907148114,1.90517322569082,1.81502198876388,1.758334662536,1.71756057079253,1.53654652836251,1.24805360279967,0.688966232617165,0.193341988670571,-0.249562320641088,1
m112 s4c1,751-L,female,stress,0.307733986604349,-0.149783086621941,-0.700496286620808,-0.360709323073022,-0.697254722832031,-0.873601491568419,-0.814171125754097,-0.457224712923402,0.0419331801216065,0.410394237198509,0.741827933587926,1.06427328532816,1.14961448508788,3
m112 s3c2,751-L,female,stress,-0.552286764434244,-0.840827380620206,0.203506168057981,-0.360709323073022,-0.246834500972308,0.73210419807448,1.1646794806229,1.10989997681308,0.789239854242056,0.717536004585602,0.636104531646404,0.193341988670571,-0.159292849303736,1
m112 s2c1,751-L,female,stress,-0.52460562781446,-0.79162187315566,0.561293436485271,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.2099412470295,-1.41668880868043,-1.15375749847111,-0.929860747763352,-0.791161394564152,-0.532434091877418,-0.47523599898447,3
m112 s4c2,751-L,female,stress,-1.99074919536062,-0.670501709784232,2.22709223101238,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.2099412470295,-1.4806530817309,-1.39289563418966,-1.32076845171056,-1.0026081984472,-0.629204235950483,-0.294697056309765,3
m112 s3c1,751-L,female,stress,1.71482767126045,0.0962478846412262,-0.413091959224472,1.51690293996308,2.00526660832631,2.11375793102302,1.89025803629447,1.781524843843,1.17783932478469,0.242862364078276,-0.526852889710345,-0.919514668169678,-1.06198756267726,2
m112 s2c2,751-L,female,stress,1.10297909768139,-0.249248160690621,-0.591730770428019,-0.360709323073022,0.65400594274714,1.06818213311602,1.26362201094175,1.39773920554019,1.6860078631866,2.05779098954746,2.1426630093131,2.22551501420494,2.27798287680479,1
m112 s3c3,751-L,female,stress,-1.55681801447891,-0.99883290260445,1.10983211241385,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.14397956015026,-1.09686744342809,-0.914619362752569,-0.874016790056608,-0.579714590681107,-0.435663947804353,-0.204427584972412,3
m112 s3c4,751-L,female,stress,1.83996642940021,-0.637382573974285,-0.710321421237002,0.343395275565517,1.10442616460686,1.59097003206952,1.9562197231737,2.10134620909534,2.37353000337741,2.36493275693456,2.48626406562305,2.4674403743876,2.41338708381081,1
m114 s2c4,758-L,female,naive,-1.19156975112502,-1.158255006442,1.36233963905718,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.2099412470295,-1.22479598952902,-0.914619362752569,-0.706484916936375,-0.421129487768823,-0.0969684435486246,0.111515564708322,3
m114 s2c5,758-L,female,naive,-0.163905879321216,1.01334851016868,-0.719457520438555,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.616286065116397,-0.329296166822465,-0.137420421667301,0.0753304909580435,0.213210923880313,0.338497204780169,0.427458714389056,1
m114 s1c1,758-L,female,naive,-0.226451943720287,-0.638583785753893,-0.598746403740742,-0.360709323073022,-0.697254722832031,-0.724233520438847,-0.08859257008253,0.374310836732689,0.639778519417966,0.745457983438974,0.794689634558688,0.822347925145494,0.743401864069791,1
m114 s2c6,758-L,female,naive,-0.81690252752793,-0.914694097858175,-0.502411364826247,-0.360709323073022,-0.697254722832031,-0.948285477133205,-0.748209438874863,-0.393260439872933,-0.0776358877376657,-0.203889297575678,-0.103959281944255,0.0965718445975058,0.0663808290396457,3
m114 s2c2,758-L,female,naive,-1.42139570610226,-0.101460972430251,0.69104901299448,-0.360709323073022,-0.697254722832031,-0.948285477133205,-0.946094499512564,-0.393260439872933,-0.0776358877376657,0.187018406371532,0.371796026792597,0.435267348853234,0.562862921395085,3
m114 s2c3,758-L,female,naive,1.10206430060819,-0.101916314757413,-0.70366074556213,-0.126007790193509,0.704052634064887,0.694762205292087,0.90083273310597,1.14188211333831,1.05827025692542,0.354550279491765,-0.473991188739584,-0.822744524096613,-0.881448620002557,1
m114 s2c1,758-L,female,naive,-1.12350195635576,-0.552012976479558,1.19019137132736,-0.360709323073022,-0.697254722832031,-0.948285477133205,-0.946094499512564,-0.329296166822465,0.161502247980878,0.354550279491765,0.530381129704881,0.628807636999364,0.653132392732438,3
m323 s3c2 + (mz_s1c2),611-323,male,stress,-0.646138822712473,-1.0908753653179,0.883587625031672,-0.360709323073022,-0.697254722832031,-0.948285477133205,-1.2099412470295,-0.713081805125276,-0.436343091315481,-0.203889297575678,0.0546258209680293,0.290112132743636,0.427458714389056,3
m323 s1c1 +,611-323,male,stress,0.56576760960057,0.174009198425299,-0.706490806728782,0.343395275565517,1.70498646041983,2.11375793102302,0.966794419985204,-0.265331893771996,-0.854834828822933,-1.04154866317684,-1.10833160038872,-1.11305495631581,-1.24252650535197,2
m323 s2c1 +,611-323,male,stress,1.46474578349419,-0.419431532684424,-0.122589524445265,5.8002059150142,3.58173738483534,1.90837697071986,1.3625645412606,0.678141133722415,0.116663847533651,-0.287655234135794,-0.592930015923797,-0.750166916041814,-0.904015987836895,2
