"Dim.1","Dim.2","cluster","cell.name"
0.523898477737503,0.626408424800118,"1","m022 s2c2 +"
-1.21639683738418,-1.27055341584086,"3","m022 s2c1 +"
1.95484165171362,-3.00156154678229,"1","m022 s1c4 +"
-1.70302085422899,-1.20751935858947,"3","m022 s3c2 +"
3.88724935989936,-0.880253527404493,"1","m111 s1c2"
0.48838963297692,-0.640953398010336,"1","m111 s1c1"
-3.96644692203552,-0.555092225000897,"3","m111 s3c4"
1.77732999999502,-1.32649848359943,"1","m111 s2c2"
-0.156074344033249,-2.62273916385854,"3","m111 s3c2"
-2.3368939221569,1.63154520966452,"2","m111 s2c1"
-1.2457303438834,2.2686017104286,"2","m111 s3c1"
-0.762453956439555,0.0727573116843992,"3","m111 s1c3"
2.27159402871362,-0.13536183794057,"1","m011 s3c1 +"
3.63442253070214,0.593301179864492,"1","m011 s2c1 +"
-2.22045661278288,2.20927380655566,"2","m110 s1c2"
1.06027464673745,4.35351529700477,"2","m110 s3c2"
4.69869803557725,-2.97116888268713,"1","m110 s3c1"
-3.3140014793246,-1.82692115551098,"3","m110 s1c1"
-1.08885096217003,-1.6638198462536,"3","m110 s2c3"
1.71180287199797,-0.635167643247282,"1","m110 s2c1"
0.804488965722319,-1.08641150658234,"1","m110 s2c2"
3.98169563679083,1.67979166544107,"1","m110 s3c3"
-1.30411065504808,1.75006834154225,"2","m006 s2c6 +"
-0.476891167339882,2.24301814877057,"2","m006 s2c2 +"
1.8653042587681,-2.17600099804386,"1","m006 s4c1 + (mz_s2c1)"
-0.835394091291906,2.97704322125268,"2","m006 s2c7 +"
-1.50329797640557,1.20068782087103,"2","m021 s1c3 +"
1.80816836076045,0.331562542243599,"1","m021 s2c3 +"
0.574875474215627,-1.41965905423512,"3","m021 s1c2 +"
-2.3975441097317,2.02760135835849,"2","m021 s2c6 +"
0.650102541281195,3.33601110819958,"2","m021 s2c2 +"
0.166115298364479,-0.627168114786318,"3","m021 s2c7 +"
-0.923694259827225,1.11758300907687,"2","m021 s1c1 +"
3.23126357242046,2.3187550762993,"1","m112 s1c1"
-0.920121172736453,-2.40979918736386,"3","m112 s4c1"
0.586099800971727,-0.713201811628226,"1","m112 s3c2"
-4.26516567399737,-0.988127712528999,"3","m112 s2c1"
-5.3746711115395,-1.37218958699244,"3","m112 s4c2"
2.10706254579092,3.73655366841088,"2","m112 s3c1"
4.093254603876,-2.17750880350174,"1","m112 s2c2"
-4.21662960793615,-1.53566791976712,"3","m112 s3c3"
5.8598052499942,-1.62346908561946,"1","m112 s3c4"
-1.81109286405673,-1.14284826080441,"3","m114 s2c4"
0.505114900557325,-0.454960207657368,"1","m114 s2c5"
2.0223343022185,-1.44992844405596,"1","m114 s1c1"
-0.082147793097894,-0.858423201280593,"3","m114 s2c6"
-0.137443611832797,-1.56472244008816,"3","m114 s2c2"
2.67608499612874,2.26166454480359,"1","m114 s2c3"
0.164878605747827,-1.91826815881982,"3","m114 s2c1"
-2.76967645448186,-2.27732036303377,"3","m323 s3c2 + (mz_s1c2)"
-1.15235406326278,3.35716160626495,"2","m323 s1c1 +"
1.57356905822232,5.519211871627,"2","m323 s2c1 +"
-0.855384917100678,-1.70785647389093,"3","m323 s1c3 +"
-2.33893371569531,-0.126535830104886,"3","m323 s1c2 +"
3.07432931685143,-0.600794458522028,"1","m113 s3c1"
-1.0223874706297,-0.439682973804109,"3","m113 s4c2"
-1.9059236792982,1.68938497146984,"2","m113 s1c2"
-3.01442971183845,-0.347246157938032,"3","m113 s2c1"
-3.24037890751346,0.95292178904047,"3","m113 s4c1"
-3.70441215924951,-0.239232760771763,"3","m113 s2c2"
4.50936268361722,-0.259789687127534,"1","m113 s1c1"
