session_idx,mouse,group,sex,day,date,n_irts,pi_0,pi_1,pi_2,pi_3,pi_4
561,489-3,naive,M,9,220805,725,0.063762374,0.4145494,0.1779178,0.3401697,0.0036007992
562,722-L,naive,F,1,241119,358,0.11284464,0.36772975,0.25476325,0.075291745,0.18937063
563,723-L,stress,M,13,241207,914,0.02581931,0.48328066,0.14018157,0.35071754,9.999998e-07
564,579.1-1,stress,F,5,230710,1991,0.36449757,0.39433676,0.15954448,0.0816202,9.999998e-07
565,821-0,naive,M,2,250902,202,0.09464366,0.4435219,0.038529225,0.05338572,0.3699195
566,645-0,naive,M,14,240321,513,0.07145626,0.25923806,0.28069472,0.27977672,0.108834244
567,648-L,stress,F,9,240316,372,0.02157232,0.2944181,0.00025082403,0.49226764,0.19149111
568,579-2,naive,F,9,230715,169,0.22043224,1.3368921e-06,0.06049529,0.23628585,0.48278528
569,499-3,stress,M,8,220804,514,0.13148484,0.27536923,0.0641837,0.42213362,0.106828615
570,819-R,stress,M,12,250912,1053,0.30526185,0.2956284,0.18015191,0.21895683,9.999998e-07
571,728-R,naive,M,14,241210,589,0.31013536,9.999993e-07,0.35583356,0.23211089,0.10191918
572,644-R,stress,M,2,240229,305,0.010419202,0.1518476,0.43473905,0.13248068,0.27051345
573,500-3,stress,F,7,220803,397,0.21080075,0.066080265,0.15048757,0.3705101,0.20212129
574,489-1,naive,M,2,220730,985,0.16954793,0.276065,0.3606573,0.13658567,0.0571441
575,725-L,stress,F,5,241128,314,0.033322755,0.3469818,0.16892986,0.19475119,0.25601438
576,499-1,stress,M,11,220806,445,0.28991553,0.10025134,0.085558854,0.4465486,0.07772571
577,489-3,naive,M,1,220727,223,0.06739701,0.07943723,0.2010727,0.16562343,0.48646963
578,722-L,naive,F,8,241130,498,0.042199843,0.29974893,0.26710683,0.22384326,0.16710122
579,728-R,naive,M,12,241207,312,0.16118217,0.017025042,0.21425879,0.39614874,0.21138532
580,821-0,naive,M,5,250908,281,0.107834525,0.2839449,9.999998e-07,0.22784272,0.3803768
581,649-L,naive,F,5,240307,224,9.999983e-07,9.999983e-07,0.0010456878,0.6487529,0.3501994
582,646-L,stress,M,2,240229,852,0.030137273,0.56705874,0.08259918,0.29699734,0.02320744
583,501-2,stress,F,8,220805,1132,0.39568788,0.21190284,0.14582929,0.24173348,0.0048465147
584,491-2,naive,F,8,220804,387,0.098922,0.13823037,0.36674315,0.09500551,0.30109894
585,580-1,stress,M,12,230716,488,0.0487478,0.07531489,0.053686064,0.8054376,0.016813608
586,725-L,stress,F,7,241130,174,0.020581082,0.20297502,0.2313494,0.09212235,0.45297214
587,644-R,stress,M,10,240317,638,0.009082064,0.18428612,0.50117964,0.18631148,0.11914071
588,644-R,stress,M,9,240316,757,0.007089184,0.21020761,0.5167157,0.21371071,0.05227678
589,489-4,naive,M,4,220802,350,0.086595014,0.37876138,0.046355035,0.28626928,0.2020193
590,580-1,stress,M,8,230712,1016,0.113899834,0.49352786,0.24953797,0.0628166,0.0802178
591,649-R,naive,F,14,240321,166,0.014275063,0.010467926,0.068725094,0.32189485,0.58463705
592,645-R,naive,M,14,240321,828,0.01683515,0.35568848,0.24122562,0.38624978,9.999997e-07
593,821-L,naive,M,1,250828,836,0.14448091,0.1346163,0.5305864,0.1471541,0.04316226
594,645-R,naive,M,11,240318,1040,0.08924482,0.5205508,0.03862418,0.35157925,9.999995e-07
595,580.1-1,naive,M,13,230720,915,0.09277303,0.4193544,0.19798514,0.28672096,0.0031664472
596,649-R,naive,F,9,240316,227,0.022664696,0.049360808,0.083308004,0.2564658,0.58820075
597,580.1-1,naive,M,3,230710,718,0.02677609,0.46132088,0.3086369,0.07097359,0.13229257
598,649-L,naive,F,11,240318,567,0.021316871,0.046570513,0.3898994,0.5417012,0.000512085
599,493-1,naive,F,12,220809,166,0.07839021,0.03222166,0.12416318,0.1069702,0.65825474
600,644-R,stress,M,13,240320,1360,0.036320962,0.36701667,0.4894283,0.107233174,9.999998e-07
601,723-L,stress,M,7,241129,870,0.022355955,0.5679689,0.06367686,0.3436273,0.0023709955
602,822-L,naive,F,9,250910,182,0.029077629,0.08132103,0.10592205,0.0049758805,0.7787034
603,722-L,naive,F,4,241126,860,0.12182632,0.48571467,0.24902546,0.042085443,0.101348095
604,578.1-1,naive,F,8,230715,155,0.053259667,9.999998e-07,0.25489208,0.07539381,0.6164534
605,648-L,stress,F,12,240319,249,0.006817467,0.15068941,0.23653126,0.20091446,0.40504745
606,646-0,stress,M,13,240320,763,0.13004588,0.34736326,0.0869393,0.43565062,9.999998e-07
607,819-L,stress,M,8,250909,416,0.058104143,0.19754557,0.07212847,0.6722209,9.999999e-07
608,644-0,naive,M,8,240316,963,0.35552308,0.2772643,0.1335139,0.16870078,0.06499795
609,822-L,naive,F,4,250903,311,0.019665813,0.18056266,0.48651585,0.043080945,0.2701747
610,501-2,stress,F,9,220806,1023,0.44464028,0.14783694,0.15938143,0.24814042,9.999998e-07
611,722-0,naive,F,14,241209,922,0.0100198155,0.16727345,0.6035751,0.21913062,9.999998e-07
612,723-L,stress,M,12,241206,844,0.013141013,0.48966134,0.09519271,0.402004,9.999998e-07
613,500-1,stress,F,11,220807,667,0.48695755,9.999995e-07,0.12840854,0.34789988,0.036733072
614,645-R,naive,M,2,240229,1563,0.08518043,0.6595474,0.123904586,0.13136664,9.999999e-07
615,649-R,naive,F,2,240229,174,0.037488684,0.1243018,0.39563975,0.08938661,0.35318315
616,579-1,stress,F,14,230719,875,0.1500735,0.5428413,0.072413266,0.15316199,0.08150989
617,722-0,naive,F,1,241119,847,0.009400808,0.12892385,0.633773,0.21737278,0.010529602
618,644-R,stress,M,5,240307,348,0.065030664,0.16290991,0.05578942,0.47357666,0.2426934
619,822-R,naive,F,4,250901,486,0.07555823,0.3169431,0.020217204,0.52530724,0.06197422
620,725-0,stress,M,1,241120,656,0.28858846,0.30624282,0.18269925,0.110867254,0.11160218
621,580.1-1,naive,M,9,230716,798,0.065865055,0.35591623,0.26384085,0.28503323,0.029344633
622,648-R,stress,F,5,240307,562,0.018513706,0.15496656,0.3197721,0.50674665,9.999998e-07
623,648-L,stress,F,4,240306,737,0.017347902,0.46877688,0.21161121,0.23901467,0.06324935
624,821-0,naive,M,3,250904,525,0.050627742,0.4797336,0.07613692,0.20288233,0.19061941
625,578.1-2,naive,F,14,230721,277,0.10994644,0.16659491,0.122378476,0.29157603,0.30950412
626,493-1,naive,F,7,220804,816,0.27245247,0.2282707,0.18084607,0.27325818,0.04517257
627,644-R,stress,M,4,240306,774,0.014221604,0.30749688,0.374345,0.2731213,0.030815288
628,648-L,stress,F,7,240312,263,0.015771255,0.25063825,0.08880202,0.16021162,0.48457682
629,722-RL,naive,F,8,241130,800,0.09894088,0.3246538,0.24344479,0.3297746,0.003186013
630,822-R,naive,F,10,250910,575,0.24973959,0.029467667,0.21638647,0.4448178,0.059588462
631,822-L,naive,F,7,250908,336,0.017599642,0.22317116,0.18110038,0.19180958,0.38631925
632,649-R,naive,F,6,240311,287,0.0016898249,0.09011167,0.20095487,0.34822643,0.35901722
633,493-2,naive,F,2,220730,520,0.20875733,0.2391036,0.36719045,0.027629802,0.15731886
634,820-R,stress,F,11,250916,494,0.1457081,0.22603405,0.2071945,0.25880924,0.16225411
635,822-R,naive,F,12,250912,462,0.17906033,1e-06,0.24764124,0.47256804,0.10072945
636,646-0,stress,M,8,240313,888,0.1827205,0.29491177,0.30913836,0.21322837,9.999999e-07
637,489-1,naive,M,3,220801,767,0.11340911,0.33786508,0.2573796,0.21498975,0.07635655
638,821-R,naive,M,8,250911,586,0.0882069,0.37258962,0.17575367,0.23181598,0.1316338
639,821-0,naive,M,12,250917,319,0.066170834,0.14811361,0.005866607,0.4373399,0.34250906
640,645-0,naive,M,7,240312,283,2.774601e-06,0.3799191,0.16064331,0.13697913,0.32245573
641,648-L,stress,F,10,240317,446,0.039980188,0.2351683,0.09376323,0.5000272,0.13106112
642,498-1,stress,M,11,220807,681,0.3278081,0.2861854,0.19798167,0.12547138,0.06255342
643,644-L,stress,M,10,240322,375,0.09931084,9.999995e-07,0.593377,0.101749614,0.20556147
