,group,sesType,sex,pokeRate1,pokeRate2,pokeRate3,pokeRate4,pokeRate5,pokeRate6,pokeRate7,pokeRate8,pokeRate9,pokeRate10,pokeRate11,pokeRate12,pokeRate13,pokeRate14,pokeRate15,pokeRate16,pokeRate17,pokeRate18,pokeRate19,entryRate1,entryRate2,entryRate3,entryRate4,entryRate5,entryRate6,entryRate7,entryRate8,entryRate9,entryRate10,entryRate11,entryRate12,entryRate13,entryRate14,entryRate15,entryRate16,entryRate17,entryRate18,entryRate19,P/E ratio1,P/E ratio2,P/E ratio3,P/E ratio4,P/E ratio5,P/E ratio6,P/E ratio7,P/E ratio8,P/E ratio9,P/E ratio10,P/E ratio11,P/E ratio12,P/E ratio13,P/E ratio14,P/E ratio15,P/E ratio16,P/E ratio17,P/E ratio18,P/E ratio19,efficiency1,efficiency2,efficiency3,efficiency4,efficiency5,efficiency6,efficiency7,efficiency8,efficiency9,efficiency10,efficiency11,efficiency12,efficiency13,efficiency14,efficiency15,efficiency16,efficiency17,efficiency18,efficiency19,rewardRate1,rewardRate2,rewardRate3,rewardRate4,rewardRate5,rewardRate6,rewardRate7,rewardRate8,rewardRate9,rewardRate10,rewardRate11,rewardRate12,rewardRate13,rewardRate14,rewardRate15,rewardRate16,rewardRate17,rewardRate18,rewardRate19
0,naive,RI30,F,3.239881082297516,2.877613090745902,3.3523833869098763,1.7495140238822549,1.7995001388503193,4.632046653707303,3.56151069147459,2.811718966953624,4.99061805941915,2.7957572196386176,3.032426097693776,13.706909588835995,4.112733106042782,6.027884826695982,4.659187420907264,4.122919834389016,8.912292332024267,,,19.29708950046181,5.227484003300784,4.840117992564093,5.0610941405165235,2.7534018328242156,5.4359900027770065,3.0199944459872254,4.161344071091364,3.7988115930175406,6.138318838140772,6.653761998822587,11.528393531722642,5.522646362275131,6.15606137498575,6.210665267892835,4.754255424975327,3.9783441220159546,,,0.25618661878165366,0.6609516666411556,0.6652569354716436,0.33349664067731444,0.9009330723988972,0.8585377332262824,1.1413021035876798,0.8338553237672512,1.3840889670738077,0.4526910782978265,0.4661423877226276,1.2243026871545541,0.8053612557343726,1.030608083323381,0.6955535916118412,0.8532809824672803,2.2355507232088403,,,0.30232167076533273,0.2601970926162749,0.2612569410220173,0.3608455001497454,0.27795010049474334,0.18217475884976936,0.18168892637074824,0.2343117907991222,0.19357319294867828,0.26012362498283265,0.27740111314311766,0.1173468498562568,0.2666775435017481,0.17068136686598073,0.2651209325334067,0.2530925003030178,0.15062409887290293,,,0.5626132874116749,0.7533255707579518,0.7764644375947107,0.49153013051930017,0.49986114968064427,0.6956400999722299,0.5790058317134129,0.6331574562621494,0.8880374340833153,0.6422131876313268,0.6979615366187277,1.4129299018485098,0.9866405358990853,0.9929761188892672,1.0698490375728453,0.9922441793764876,1.260071011580071,,
1,naive,RI30,M,6.256306126589694,5.827193406136387,4.145760227503273,1.6911968897528464,3.707303526798112,2.4951402388225494,3.659421568117528,14.642768045327529,13.049642674443248,2.5186038113590796,5.025893710519857,11.971434736199555,8.917868706147756,11.234315996895997,2.55762288253263,4.607343357692452,2.1827270202721465,,,1.9076615816410014,6.907152921402333,4.484375307608832,2.241044154401555,3.019994445987226,2.7450708136628714,4.824258363542952,14.977141058050405,9.570074274944288,8.776564222815548,4.5795534648021174,6.380267348986768,6.054454745114943,9.951191524143606,4.407109136351013,5.5123583777261125,4.03221327409053,,,2.785102239368372,0.8109388744843993,0.7166914407272342,0.7308059283967483,1.253148434000786,0.9780043198000665,0.6557589584138257,0.9817402174173618,1.3275840481722836,0.7763622130385424,1.0525566826597372,1.7614002622576455,1.391508158993077,1.0982510837465824,0.5790420852258069,0.8568100665139179,0.552053320086107,,,0.15781603432007513,0.17629983723250695,0.3313675947114162,0.3526416001183082,0.18389222381287612,0.22398509685729143,0.250170791805375,0.11429459035751674,0.10705865225628025,0.2757618152369512,0.21480582923765873,0.12784150921055995,0.15457835463787267,0.13823268054190657,0.29351832257714844,0.19297388793652082,0.27015493432702786,,,0.6405146973937924,0.939837497456533,0.7569986218265177,0.4457095251319078,0.6039988891974452,0.41655095806720355,0.6459879780656704,1.6577515668093712,1.232716151211448,0.668800280858052,0.9890380051396899,1.2599751965146504,1.1793682645486978,1.3848343457832355,0.6914745903915579,0.8937266011853964,0.5748403221327409,,
2,naive,RI60,F,7.978058603345912,4.523618016359712,9.137304092859639,5.44840561880492,1.95084698694807,8.505926829166988,6.8415243715868606,5.5295976812652645,8.358829043430715,7.94086488626245,5.036672366739582,13.490485484413844,11.415727448921592,9.718398656094136,7.00682258169666,9.920091119084715,4.992572093184178,9.716806812903021,,4.857836261294064,3.5703551966927107,4.941718341261082,5.230136391453763,2.6242710358233823,4.54531866722339,3.0021202308684374,7.061528110374311,4.579070728318178,4.701824928424412,3.7919926260145256,9.247160357929308,8.664035149152058,7.096573322937915,4.183685327906258,6.5933352515105845,4.745424273907218,4.079771430937177,,1.5680271421922922,1.2856440033814167,1.7702041016908965,1.072095273183101,0.7994891670728664,2.0882857023792702,2.1302730636615284,0.9648352683061165,2.0149698031635137,1.6744935065303868,1.35969417367827,1.8469354522918748,1.368057688793911,1.4018853402041318,1.6747967479674797,1.491588975921751,1.080844505196339,2.595742419719248,,0.15580792886166103,0.1778743147607845,0.11479878782910669,0.17295420333196052,0.2705365205019834,0.11600165285000891,0.14044123875049105,0.15255025663093608,0.12200173787350675,0.11289486623745318,0.17907199120517267,0.07018941619205306,0.091026000839932,0.11590920986494388,0.10922330097087378,0.10027674556799006,0.1785699499423615,0.09246653580841041,,0.8337171271510763,0.6880725642099171,0.7518850073489759,0.7750854136809807,0.4804221049708414,0.7277783437069014,0.6466987991926494,0.6748194406526373,0.9120986438413898,0.7792472673872555,0.7466023975560666,0.8510733604947013,0.8218433500125498,0.8622878280095866,0.7653082916901692,0.8713485671867134,0.7681800043036887,0.8461516304262281,
3,naive,RI60,M,8.645757090396787,9.15849053857722,5.647167519290981,4.675275755324068,12.674156957533127,9.066154978548466,7.485871393639144,27.188082076482477,20.613257158901877,8.788178660840803,4.098861427381283,7.660596627040458,8.101134241646179,7.997349700897975,4.597651883592832,7.355945430696301,6.710475391894144,,,2.98366256289005,4.726112898302995,3.4456134486076144,2.0881108966047246,3.786199996212078,4.543670165502568,5.5617036956765595,13.22677432399978,5.974521204484307,9.071462615612793,4.073868369897251,6.314749819434806,10.791096908532694,6.232779374054392,2.8841058951080543,6.434565824512632,4.669682537316722,,,2.775873705978839,2.259071252881926,1.5451005331653151,2.058285930502075,3.3686313876218215,2.084775266458165,1.3314347514905664,2.300582254538797,3.469692157495807,1.0357401196889817,0.9595927626297366,1.2430841376622763,0.8478422169855265,1.1688747128830932,1.6840719032069618,1.2131504262058423,1.624745295605622,,,0.13667214744455383,0.10825072188596542,0.17457221682525925,0.2565954581112731,0.07548763357122083,0.09977356303425473,0.12589044728504345,0.03748188694051512,0.047927815706421795,0.12481019445584818,0.20278467528318772,0.14101033648258524,0.13070248255751818,0.16972955996209174,0.16107861395137396,0.1168727066689408,0.11845383256318982,,,0.7653385103126823,0.7663583079499499,0.7076365043412111,0.5836205005132916,0.8340129850281386,0.7482382527806485,0.770516019415169,1.0016372439201557,0.9170419480841271,0.8523090939440847,0.6031657872813108,0.8174690455016539,0.8267602441028102,0.6870214836942623,0.6892759408485095,0.771215194671448,0.6983857913077278,,
4,stress,RI30,F,2.6242710358233823,2.7908914190502636,3.63568698436673,5.695884138605894,8.419718156695778,2.828381005276312,3.428214384893085,4.569564009997223,8.462266841131708,3.685822637798242,3.6169388298387823,2.3691723455804303,1.6037211885587337,2.239377950569286,2.0202721466259375,1.4954179394612608,1.5120799777839489,,,1.8911413496251042,4.969452929741738,3.5283752714814507,3.9658378719551317,7.335264659758917,5.327686753679533,3.628158844765343,4.277978339350181,9.545420705267787,7.043010284842468,8.064629780010709,8.064980420010935,4.03221327409053,2.0527631213551794,6.589836156623161,2.953346292696473,2.5034712579838936,,,1.4247418654453452,0.5872762428962383,0.9934110379777585,1.4216455466455467,1.0793982424052715,0.5702871016428228,1.0354006111139713,1.0796621349395967,0.9560381382381715,0.6237997662364687,0.5406277740824141,0.3395327444751904,0.400538022872119,6.540253835949822,0.3288158549298453,0.5229570264244718,0.632137649944377,,,0.2609263927190574,0.27360788340245773,0.25998467892414756,0.12914527333131984,0.1542942416304832,0.22316501902189528,0.16319501631457567,0.16647521671278878,0.155256934611398,0.2762150497999555,0.21755234020680048,0.3033280922431866,0.33578615284489366,0.25615252886567896,0.3232798268628138,0.34327685591370505,0.37501855780302007,,,0.5706748125520689,0.7247986670369342,0.7313298497937621,0.7235752519427432,1.072168661876855,0.6039988891974452,0.5498472646487087,0.7414607053596223,1.2641093215217012,1.007594240294153,0.7642343369867259,0.7025296459694467,0.5415162454873647,0.44321021938350463,0.6206609275201334,0.49153013051930017,0.5415162454873645,,
5,stress,RI30,M,4.418188143827368,4.286879438516106,8.41593984474683,9.683279532467726,3.5312672122323603,3.577255786846769,4.2954673512606725,1.8453207442377118,4.765497966947077,7.439195827439204,5.301709348452808,5.70572978219807,2.815360235635552,7.980063783295324,17.781538188967318,6.445160869943965,3.5610988933121033,4.577120773676031,3.987890830137592,5.362011775441147,7.405817548481732,5.528013107966974,8.252372952932316,3.7170683008662797,5.073291326000755,3.454675116430426,4.394612607608997,4.598273902740096,7.824629783397871,7.30479958766661,5.726284722876014,4.980556834094857,9.381732771667194,10.510790715496592,11.855911482547258,7.036827607108347,5.490029860750789,3.750469218635973,0.8261295121760238,0.6683594318580964,1.2398445423718982,1.119578350776123,0.9332532542695016,0.6865372981352386,2.0749818940047584,0.4041801482816578,1.0806661998247369,0.9754248931343402,0.7432818064449366,1.0417759682179812,0.5385885014256844,0.8512578258220607,1.783964683574075,0.629142271123458,0.5195403379269702,0.8804338478950522,1.124089765124345,0.18689582834319676,0.20812917883445195,0.20251619120856076,0.12368269776611644,0.22737200694517767,0.2226306959322732,0.18122912180421039,0.35352494914589616,0.1621087523420687,0.15063366553594165,0.23400317995071504,0.15888347792825153,0.26660454756401997,0.16771938039474674,0.09579968313284731,0.14669933236327998,0.2304527995176944,0.19868841275807822,0.19369519785561765,0.8367910455485633,0.8918075518768963,0.7880362501941124,1.112817098617633,0.7247848375112581,0.7574833509142961,0.6244524560238716,0.5456817550680366,0.7076157841788688,1.0042377157585771,1.1146017900328933,0.9056244549952037,0.6652690068259611,1.1669718390295114,1.6679764396030572,0.9007057284746931,0.7675123400410088,0.8924595493473624,0.757518789030295
6,stress,RI60,F,10.009069265650002,12.958611842415392,7.696408778307439,8.252446248040506,18.924581499047424,14.247153568453207,14.303763807068597,15.01918062311616,31.756558383881046,6.3073382377083265,8.146919626145506,9.02480449562894,5.101368213091661,3.772563176895307,2.5838976352722534,3.7949820246724477,3.368295131694188,,,2.365279463764626,5.784605918610924,3.078355087216577,4.0976108056709535,6.483594167967854,4.328797556234379,5.197292979381461,4.765520407727373,6.5534077423724915,6.63172184816491,4.359285376595028,4.881870384929964,6.142612411598232,3.1324632046653704,4.221904171918057,4.19566013977452,2.3506290987546197,,,4.316198799679551,2.3402844677777015,2.512938095238118,2.05686054972458,2.908053732277976,3.7841886722660503,3.018808488908644,3.5262765716783018,4.882313956408764,1.0933317123056787,2.034672168059966,1.9357038270171503,0.9619955805357628,1.2914612591253152,0.6020114705225574,0.9289588524139462,1.3241865549725444,,,0.08212481819816446,0.07441301493133343,0.11113750416545908,0.10943267872583282,0.056284405034860464,0.060942042736402934,0.06032152140359987,0.05793496534894317,0.03575895062815791,0.17960275849539803,0.10923937294654489,0.11280746763893595,0.1495490924722126,0.20387514413213703,0.24020952390816716,0.2073127766359059,0.23134233648047509,,,0.7947309507797518,0.8862037643610287,0.8040263383403753,0.8285580360260532,0.9178150608821917,0.682032768675368,0.7437347210567502,0.7845723626142,0.9374665055668009,0.8225185451208794,0.8144473183840176,0.8903863186529902,0.6417951352730576,0.5748403221327409,0.521649969025698,0.6362714792199996,0.5575374361822572,,
7,stress,RI60,M,13.189352588644953,8.203677082847564,10.963749039085227,10.374833509141132,15.818764608891103,10.708792662589834,14.334842874168968,5.130519300194391,13.887030327110006,14.730580717977622,11.103700844675947,12.935002769465807,6.6268663176382,12.430672033781889,12.58233810566027,6.832930531055994,6.063700254202893,8.421346972462029,14.688634401483233,5.074988774929637,5.243979101262478,4.889542315402026,6.132004744283203,5.17527832743973,6.02549619710257,4.5664039723544185,5.484587614551514,6.766993455053735,5.06980954830898,6.064203240501708,6.109411693659362,5.343667636209315,8.325623073604461,17.777711844333933,6.339476505668594,5.692008630081388,4.845458759649404,5.973603990633421,2.532837879289145,1.5690620810157971,2.147242643630071,1.6832167324511247,3.0387068958339167,1.764433831743867,3.0463850701847144,1.0042716328951706,2.0285798018213255,3.048377965261746,1.7971601568993854,2.209415816840791,1.3382508250928284,1.5411423704699592,0.7485670664037418,1.1538834530278343,3.0423262034752727,1.8101334990996385,2.3734783357257956,0.07149399861280535,0.11529619556778915,0.09647568663318362,0.0898509839448713,0.07035764541451542,0.09114953035474227,0.07458938268000047,0.14712789797553497,0.07217352222296013,0.06819377018994914,0.08953144227515002,0.07712698089016716,0.11463095062151396,0.08327476698053816,0.08804880024562405,0.14496846074729802,0.11821149899478461,0.10110222324653148,0.08937190494987131,0.8629593595085175,0.8332363336823181,0.8202518517704879,0.8636535680559282,0.879282144392962,0.9305254624990154,0.831763466335143,0.6886975840044433,0.862005133602603,0.9331478147712265,0.8896769584401711,0.9099743009693796,0.6289170086730596,0.8345728250419396,0.9276849586967861,0.7380097906118013,0.6049601606391387,0.8365574466219583,0.8190581168620399
