K_label,component,group_beta_logit,group_se,group_p,day_beta,day_p,pi_naive_at_median_day,pi_stress_at_median_day,method_used,comp_mean_IRT_s
K=5,0,0.23514861516255037,0.25257135331091196,0.35184396865046574,0.00531673649952797,0.455208357684709,0.07717873732765662,0.09568095467170286,powell,0.37469181418418884
K=5,1,0.18822811173629306,0.34737706074420105,0.5879181718313513,-0.07478338080601363,3.418404979229674e-11,0.11188826470045124,0.13200241498464596,powell,0.832825779914856
K=5,2,0.16953171049902452,0.18667740701833022,0.3637972128245275,-0.032150098762654344,0.0007572145346799124,0.14654784584453728,0.1690456863688566,powell,2.258309841156006
K=5,3,0.11722907026236731,0.23791047557034767,0.6221931544028596,0.08286366218531854,7.890935079635883e-12,0.16006732519322298,0.1764628686242572,powell,6.580927848815918
K=5,4,-0.6520891624854818,0.35168623856619885,0.0637135861976278,-0.07186679438860946,2.07534832119812e-07,0.1264479456071983,0.0701213907077641,powell,19.27145767211914
