,mouse,sex,group,date,dayOnType,numShock,numRew,numPoke,pct_OG_BW,pokeTimestamps,rewardPokeTimestamps,shockTimestamps
57,491-1,F,naive,220810,2.0,14,45,54,0.818182,"[26.95, 61.05, 61.75, 61.95, 62.15, 62.45, 63.35, 78.55, 93.25, 108.5, 108.6, 122.4, 128.35, 128.85, 149.25, 152.4, 154.1, 163.65, 179.55, 187.35, 189.6, 202.45, 285.05, 324.9, 469.1, 582.0, 665.6, 792.35, 936.0, 986.35, 1330.65, 1576.25, 1623.05, 1668.9, 2093.45, 2161.6, 2193.2, 2250.65, 2333.55, 2475.55, 2561.25, 2587.65, 2652.65, 2673.55, 2696.0, 2838.8, 2858.2, 2887.6, 2942.0, 2960.05, 2985.5, 3096.55, 3177.4, 3258.6]",[],"[149.25, 179.55, 202.45, 324.9, 665.6, 986.35, 1330.65, 1668.9, 2250.65, 2587.65, 2696.0, 2887.6, 2985.5, 3258.6]"
58,498-3,M,stress,220810,2.0,9,31,69,0.865546,"[259.85, 305.7, 341.85, 371.0, 402.0, 402.15, 443.2, 462.3, 463.4, 504.2, 512.35, 558.3, 597.35, 597.55, 751.6, 757.8, 764.45, 769.1, 772.35, 779.15, 829.4, 849.5, 857.8, 883.2, 892.05, 895.5, 898.6, 919.45, 937.2, 958.1, 978.5, 1051.95, 1105.95, 1158.2, 1199.3, 1245.4, 1255.5, 1267.5, 1371.95, 1375.3, 1402.95, 1482.75, 1484.0, 1525.95, 1526.2, 1583.6, 1588.55, 1977.4, 2365.7, 2444.95, 2536.9, 2574.15, 2752.5, 2868.8, 2888.15, 2900.05, 2909.2, 3088.85, 3144.9, 3172.25, 3233.7, 3397.75, 3404.35, 3404.75, 3441.5, 3444.55, 3481.8, 3576.15, 3597.35]","[259.85, 305.7, 341.85, 371.0, 402.0, 443.2, 558.3, 597.35, 751.6, 829.4, 883.2, 892.05, 958.1, 1105.95, 1371.95, 1402.95, 1525.95, 1583.6, 1588.55, 1977.4, 2365.7, 2536.9, 2752.5, 2868.8, 3144.9, 3172.25, 3233.7, 3397.75, 3404.35, 3441.5, 3576.15]","[751.6, 892.05, 1105.95, 1402.95, 1588.55, 2536.9, 2868.8, 3233.7, 3441.5]"
48,501-2,F,stress,220810,2.0,17,52,90,0.80791,"[4.15, 20.3, 27.35, 38.3, 52.15, 66.35, 84.5, 96.65, 154.0, 154.55, 165.25, 165.75, 172.8, 283.25, 310.4, 479.55, 510.8, 606.8, 636.15, 652.8, 728.5, 792.05, 803.65, 856.0, 1094.45, 1157.85, 1180.8, 1209.6, 1216.7, 1261.6, 1268.4, 1344.05, 1390.9, 1392.0, 1393.95, 1395.45, 1398.8, 1400.75, 1401.85, 1402.85, 1406.6, 1407.25, 1408.7, 1409.45, 1409.95, 1412.5, 1413.8, 1414.5, 1415.0, 1418.0, 1420.1, 1421.1, 1424.8, 1425.9, 1426.35, 1426.8, 1428.7, 1429.2, 1430.8, 1433.9, 1434.3, 1437.4, 1438.05, 1440.9, 1441.35, 1442.65, 1445.1, 1446.3, 1447.85, 1453.6, 1460.1, 1499.8, 1523.1, 1592.2, 1684.35, 1773.75, 1788.0, 2225.75, 2242.25, 2278.1, 2413.5, 2467.65, 2483.9, 2708.1, 2718.95, 3056.25, 3092.65, 3140.1, 3359.05, 3378.6]",[],"[96.65, 172.8, 310.4, 510.8, 652.8, 803.65, 856.0, 1180.8, 1268.4, 1460.1, 1592.2, 1788.0, 2278.1, 2483.9, 2718.95, 3140.1, 3378.6]"
39,493-1,F,naive,220810,2.0,38,119,504,0.890173,"[3.3, 15.85, 25.45, 37.5, 51.85, 56.85, 57.2, 65.7, 77.8, 95.7, 96.65, 106.9, 130.25, 148.9, 156.0, 158.65, 164.5, 178.25, 189.1, 190.25, 204.05, 204.5, 206.9, 228.2, 238.95, 239.85, 242.15, 247.95, 248.05, 249.5, 249.7, 253.15, 262.35, 262.75, 264.3, 267.3, 270.2, 274.4, 279.15, 284.5, 287.7, 288.3, 298.6, 302.2, 309.3, 320.9, 324.3, 335.55, 344.5, 355.7, 373.85, 377.5, 380.4, 383.4, 386.05, 387.35, 389.15, 392.55, 392.95, 407.95, 426.75, 432.4, 437.15, 438.5, 446.85, 453.35, 453.7, 467.05, 467.6, 474.25, 474.6, 475.0, 477.6, 481.55, 483.35, 484.0, 485.1, 486.35, 517.65, 522.0, 522.75, 523.7, 525.0, 526.9, 531.0, 531.6, 534.05, 535.4, 537.3, 569.55, 570.15, 573.15, 580.1, 580.45, 582.65, 584.75, 587.6, 591.8, 601.95, 602.35, 602.8, 604.1, 605.2, 610.9, 611.35, 612.65, 615.85, 618.7, 619.6, 619.7, 622.55, 626.45, 629.7, 631.8, 644.5, 657.15, 657.75, 659.75, 661.65, 662.75, 667.2, 668.3, 682.55, 706.0, 716.0, 724.25, 726.25, 756.15, 762.65, 764.9, 765.0, 776.4, 776.55, 782.35, 788.55, 797.0, 802.2, 809.95, 813.2, 817.3, 819.35, 823.65, 824.15, 825.5, 826.75, 829.8, 840.0, 840.85, 841.3, 853.2, 857.45, 862.35, 863.45, 870.7, 896.25, 905.05, 906.25, 910.8, 911.45, 921.1, 934.0, 936.65, 947.9, 958.2, 961.45, 966.5, 970.4, 975.2, 976.75, 998.05, 1020.65, 1021.1, 1022.25, 1025.35, 1026.6, 1031.45, 1039.5, 1044.15, 1057.95, 1058.15, 1058.25, 1069.2, 1070.6, 1081.5, 1087.65, 1105.45, 1125.7, 1127.5, 1144.0, 1144.55, 1167.3, 1187.0, 1193.55, 1195.0, 1210.5, 1211.1, 1224.3, 1226.35, 1238.0, 1238.8, 1240.05, 1244.3, 1245.55, 1246.6, 1252.45, 1259.35, 1263.9, 1264.3, 1265.25, 1266.85, 1276.95, 1277.35, 1278.45, 1288.1, 1289.3, 1289.45, 1303.15, 1309.75, 1310.45, 1311.6, 1325.1, 1329.8, 1343.5, 1347.9, 1357.4, 1360.55, 1362.4, 1367.15, 1367.75, 1369.35, 1379.1, 1382.35, 1388.6, 1389.0, 1393.7, 1394.35, 1400.8, 1405.6, 1409.85, 1413.9, 1424.4, 1428.3, 1437.7, 1451.8, 1463.9, 1465.7, 1511.0, 1511.5, 1512.45, 1521.85, 1532.8, 1533.1, 1542.35, 1542.4, 1542.7, 1544.25, 1547.55, 1552.8, 1552.95, 1555.9, 1563.1, 1563.55, 1568.85, 1591.05, 1591.45, 1595.55, 1597.3, 1600.0, 1601.6, 1601.85, 1604.0, 1607.05, 1613.6, 1629.85, 1632.25, 1637.5, 1643.25, 1644.55, 1653.3, 1658.5, 1665.15, 1678.65, 1693.85, 1712.2, 1725.0, 1725.2, 1729.7, 1732.0, 1754.0, 1754.6, 1807.9, 1808.35, 1809.75, 1821.5, 1822.05, 1823.1, 1835.7, 1836.15, 1837.25, 1839.9, 1843.45, 1851.65, 1854.1, 1868.8, 1869.25, 1910.95, 1916.8, 1928.9, 1938.35, 1954.95, 1955.35, 1963.45, 1987.75, 1998.3, 1998.7, 2010.75, 2023.4, 2025.3, 2034.25, 2038.65, 2063.8, 2070.3, 2073.65, 2077.0, 2079.3, 2093.1, 2093.5, 2113.3, 2117.25, 2125.35, 2125.8, 2139.95, 2140.3, 2167.6, 2168.0, 2171.75, 2201.85, 2202.05, 2208.25, 2208.7, 2208.75, 2235.75, 2240.1, 2286.9, 2295.0, 2306.3, 2313.75, 2318.3, 2320.7, 2327.8, 2329.55, 2365.95, 2378.2, 2387.0, 2391.15, 2406.9, 2415.65, 2416.2, 2422.85, 2452.95, 2453.45, 2455.6, 2487.25, 2487.55, 2494.4, 2502.55, 2504.65, 2510.8, 2519.1, 2519.5, 2530.15, 2530.7, 2545.75, 2580.05, 2586.4, 2613.55, 2620.15, 2624.55, 2641.4, 2643.1, 2645.1, 2671.0, 2674.25, 2679.1, 2680.15, 2683.05, 2688.9, 2689.45, 2696.95, 2697.55, 2698.45, 2703.0, 2707.3, 2771.15, 2773.25, 2790.4, 2796.65, 2804.15, 2811.6, 2853.25, 2862.6, 2874.9, 2885.2, 2896.15, 2896.65, 2914.85, 2917.6, 2926.45, 2927.0, 2928.4, 2936.8, 2936.9, 2947.25, 2950.75, 2955.65, 2967.75, 2985.45, 3002.85, 3004.8, 3010.35, 3045.5, 3047.35, 3062.35, 3064.65, 3072.85, 3092.85, 3093.3, 3117.45, 3123.55, 3126.05, 3129.55, 3180.9, 3181.35, 3183.3, 3186.65, 3193.75, 3195.6, 3207.9, 3214.15, 3223.4, 3223.75, 3224.75, 3252.05, 3252.9, 3266.35, 3283.85, 3290.05, 3292.2, 3296.8, 3302.05, 3313.65, 3313.85, 3315.1, 3323.35, 3323.95, 3325.4, 3346.35, 3346.95, 3347.0, 3349.55, 3350.15, 3350.3, 3354.75, 3359.7, 3365.25, 3392.7, 3422.5, 3423.8, 3426.75, 3431.35, 3437.6, 3446.1, 3446.85, 3449.3, 3452.95, 3461.0, 3464.15, 3465.5, 3467.2, 3489.25, 3489.85, 3503.0, 3506.9, 3509.15, 3514.3, 3516.75, 3519.95, 3520.45, 3522.05, 3525.7, 3526.15, 3535.8, 3536.35, 3545.1, 3548.25, 3554.8, 3564.1, 3568.5, 3572.05, 3572.85, 3574.35, 3577.35, 3577.7, 3596.05]","[3.3, 15.85, 25.45, 37.5, 51.85, 56.85, 65.7, 77.8, 95.7, 106.9, 130.25, 148.9, 156.0, 158.65, 228.2, 238.95, 274.4, 284.5, 298.6, 302.2, 320.9, 355.7, 373.85, 380.4, 426.75, 432.4, 481.55, 517.65, 531.0, 534.05, 569.55, 591.8, 644.5, 706.0, 716.0, 756.15, 762.65, 817.3, 823.65, 896.25, 905.05, 910.8, 934.0, 947.9, 958.2, 966.5, 1020.65, 1025.35, 1069.2, 1105.45, 1125.7, 1144.0, 1167.3, 1187.0, 1193.55, 1244.3, 1252.45, 1259.35, 1276.95, 1288.1, 1303.15, 1424.4, 1437.7, 1451.8, 1463.9, 1511.0, 1547.55, 1595.55, 1643.25, 1653.3, 1658.5, 1729.7, 1835.7, 1839.9, 1868.8, 1910.95, 1938.35, 1963.45, 1987.75, 2034.25, 2063.8, 2113.3, 2125.35, 2286.9, 2327.8, 2365.95, 2415.65, 2494.4, 2679.1, 2688.9, 2696.95, 2703.0, 2707.3, 2771.15, 2790.4, 2853.25, 2885.2, 2914.85, 2926.45, 2936.8, 2947.25, 3117.45, 3123.55, 3129.55, 3186.65, 3214.15, 3252.05, 3290.05, 3296.8, 3422.5, 3426.75, 3452.95, 3461.0, 3464.15, 3503.0, 3514.3, 3568.5, 3572.05, 3596.05]","[77.8, 106.9, 148.9, 158.65, 274.4, 302.2, 373.85, 432.4, 517.65, 644.5, 716.0, 896.25, 958.2, 1105.45, 1187.0, 1252.45, 1259.35, 1303.15, 1451.8, 1547.55, 1653.3, 1658.5, 1839.9, 1938.35, 2063.8, 2365.95, 2494.4, 2707.3, 2853.25, 2914.85, 2947.25, 3186.65, 3214.15, 3296.8, 3426.75, 3461.0, 3503.0, 3596.05]"
60,499-2,M,stress,220810,2.0,34,100,618,0.843049,"[2.5, 15.75, 32.55, 32.9, 38.95, 44.8, 74.5, 88.25, 107.1, 111.1, 122.0, 129.6, 138.5, 141.1, 153.15, 154.1, 155.55, 156.4, 165.75, 175.85, 181.25, 184.4, 184.5, 185.05, 192.3, 214.85, 221.7, 224.2, 225.25, 231.4, 254.9, 259.9, 273.0, 286.55, 302.35, 305.85, 306.95, 321.5, 336.05, 338.6, 341.95, 342.9, 342.95, 351.65, 360.05, 360.15, 382.75, 397.65, 400.05, 400.2, 400.6, 432.45, 446.2, 456.6, 507.4, 522.35, 524.0, 525.0, 528.1, 541.05, 549.1, 550.45, 551.95, 560.0, 561.75, 568.35, 569.65, 613.0, 629.65, 644.3, 649.75, 650.15, 651.1, 653.25, 663.9, 665.35, 668.9, 669.8, 681.15, 693.25, 695.85, 697.05, 698.9, 701.1, 706.25, 706.3, 717.75, 718.6, 721.05, 722.05, 733.4, 734.9, 735.7, 737.5, 764.45, 839.35, 844.4, 855.25, 859.1, 859.6, 860.6, 860.85, 866.45, 890.5, 897.75, 897.9, 898.85, 900.4, 910.5, 925.1, 927.1, 928.15, 929.35, 949.1, 960.75, 962.25, 964.7, 965.85, 966.9, 967.75, 979.85, 994.75, 996.55, 998.8, 999.8, 1002.5, 1010.35, 1011.35, 1016.15, 1021.4, 1022.9, 1035.3, 1045.65, 1047.8, 1053.25, 1057.85, 1058.7, 1059.9, 1060.7, 1076.75, 1085.1, 1087.35, 1093.3, 1094.2, 1096.7, 1100.3, 1108.65, 1109.9, 1116.5, 1125.9, 1127.75, 1128.6, 1141.15, 1142.0, 1150.85, 1151.8, 1157.7, 1158.55, 1160.35, 1163.55, 1165.7, 1166.85, 1167.9, 1169.25, 1173.6, 1174.65, 1193.35, 1199.85, 1204.05, 1205.95, 1209.0, 1209.95, 1224.35, 1229.65, 1230.8, 1239.35, 1241.05, 1247.1, 1247.8, 1265.55, 1266.45, 1268.45, 1269.25, 1270.05, 1270.85, 1271.75, 1273.85, 1275.4, 1278.35, 1281.35, 1292.95, 1296.05, 1297.0, 1298.25, 1310.65, 1311.6, 1314.8, 1316.8, 1323.65, 1335.4, 1343.2, 1345.3, 1348.2, 1350.35, 1356.35, 1357.1, 1358.1, 1370.55, 1371.0, 1371.6, 1390.65, 1392.2, 1396.5, 1403.5, 1406.4, 1421.15, 1422.95, 1423.8, 1448.4, 1449.3, 1463.7, 1464.7, 1467.8, 1499.1, 1499.25, 1501.65, 1502.95, 1504.35, 1506.95, 1511.05, 1516.95, 1517.0, 1517.1, 1520.0, 1538.9, 1539.8, 1540.8, 1542.15, 1544.85, 1545.2, 1561.5, 1565.35, 1603.3, 1610.95, 1611.8, 1612.8, 1624.5, 1625.4, 1644.4, 1644.5, 1645.75, 1645.95, 1647.25, 1647.95, 1656.5, 1656.95, 1657.9, 1703.55, 1713.45, 1714.85, 1767.6, 1768.7, 1769.15, 1770.05, 1788.7, 1791.2, 1792.25, 1793.95, 1795.6, 1796.65, 1797.05, 1798.0, 1799.55, 1825.35, 1829.8, 1830.75, 1831.7, 1832.35, 1841.2, 1841.95, 1842.8, 1842.9, 1843.85, 1844.7, 1854.6, 1857.75, 1860.9, 1862.5, 1863.65, 1867.0, 1871.45, 1881.65, 1882.55, 1883.9, 1883.95, 1885.7, 1885.75, 1888.75, 1889.85, 1896.95, 1898.3, 1904.55, 1906.75, 1911.3, 1913.5, 1914.55, 1932.2, 1933.2, 1934.15, 1935.35, 1936.25, 1942.2, 1942.8, 1943.7, 1945.05, 1945.65, 1946.3, 1955.2, 1956.25, 1956.25, 1957.0, 1959.1, 1969.7, 1970.55, 1971.3, 1971.4, 1976.2, 1976.95, 1991.65, 1992.75, 1993.5, 2021.75, 2029.1, 2031.75, 2034.9, 2066.3, 2067.7, 2068.4, 2079.95, 2097.4, 2097.5, 2101.05, 2105.2, 2107.4, 2121.75, 2122.75, 2125.4, 2134.55, 2135.3, 2136.2, 2150.75, 2151.65, 2154.65, 2155.55, 2157.45, 2165.0, 2167.05, 2206.75, 2210.4, 2211.5, 2213.15, 2220.4, 2229.7, 2250.45, 2256.25, 2259.1, 2266.5, 2268.0, 2269.6, 2271.6, 2289.55, 2292.2, 2292.5, 2294.55, 2320.5, 2321.45, 2322.55, 2323.4, 2324.6, 2343.55, 2345.25, 2346.15, 2346.95, 2351.55, 2352.5, 2353.3, 2365.25, 2366.05, 2366.9, 2379.9, 2380.8, 2381.9, 2385.3, 2387.0, 2389.45, 2392.55, 2393.95, 2394.8, 2394.85, 2396.15, 2399.85, 2403.0, 2405.3, 2411.3, 2421.4, 2450.05, 2451.45, 2451.9, 2453.1, 2454.4, 2454.55, 2457.35, 2459.0, 2461.8, 2464.55, 2497.4, 2502.2, 2503.85, 2507.75, 2521.0, 2521.75, 2523.6, 2577.5, 2578.6, 2581.6, 2606.75, 2618.4, 2621.4, 2622.25, 2624.75, 2630.7, 2637.3, 2641.55, 2642.4, 2644.85, 2649.95, 2650.9, 2652.35, 2655.65, 2669.8, 2669.95, 2685.55, 2685.6, 2685.95, 2686.85, 2687.35, 2688.85, 2689.65, 2696.9, 2698.6, 2700.65, 2714.05, 2728.05, 2729.1, 2744.25, 2751.7, 2755.75, 2758.6, 2770.8, 2771.2, 2781.3, 2781.9, 2785.7, 2786.9, 2789.25, 2791.9, 2806.65, 2807.65, 2808.1, 2810.9, 2812.4, 2816.65, 2817.75, 2818.7, 2822.8, 2823.85, 2825.85, 2833.2, 2834.3, 2835.25, 2836.0, 2838.45, 2839.7, 2840.8, 2842.0, 2851.7, 2852.1, 2852.9, 2853.9, 2856.85, 2859.65, 2862.05, 2862.8, 2865.9, 2866.6, 2884.35, 2885.35, 2886.45, 2887.35, 2889.0, 2889.85, 2890.8, 2928.55, 2936.3, 2936.4, 2941.7, 2942.4, 2943.65, 2945.9, 2951.3, 2952.15, 2953.45, 2955.75, 2959.1, 2962.7, 2964.8, 2966.05, 2967.15, 2967.95, 2996.9, 3006.75, 3007.5, 3010.35, 3011.6, 3014.05, 3020.35, 3020.9, 3021.9, 3022.6, 3024.4, 3028.6, 3029.75, 3038.8, 3064.35, 3065.1, 3066.0, 3066.6, 3067.75, 3072.6, 3075.5, 3076.35, 3085.55, 3087.9, 3096.8, 3102.05, 3102.6, 3103.6, 3104.8, 3108.85, 3110.4, 3113.4, 3146.2, 3146.3, 3148.1, 3151.3, 3164.95, 3166.2, 3167.3, 3182.35, 3183.35, 3185.0, 3185.35, 3193.3, 3193.9, 3194.75, 3195.6, 3196.75, 3208.05, 3208.95, 3209.65, 3210.15, 3232.0, 3243.8, 3247.0, 3248.5, 3249.35, 3250.1, 3251.85, 3252.15, 3252.8, 3254.95, 3265.85, 3266.35, 3271.1, 3271.9, 3276.3, 3277.5, 3278.35, 3278.75, 3282.1, 3282.8, 3324.3, 3325.25, 3325.75, 3326.55, 3327.35, 3327.4, 3335.95, 3336.0, 3381.55, 3441.5, 3444.95, 3490.3, 3495.55, 3495.85, 3513.75, 3514.1, 3546.05, 3547.45, 3549.75, 3552.45, 3556.55, 3558.35, 3563.7, 3566.35, 3566.85, 3598.5, 3600.7]","[2.5, 15.75, 32.55, 38.95, 44.8, 74.5, 88.25, 107.1, 111.1, 122.0, 129.6, 138.5, 165.75, 175.85, 181.25, 192.3, 214.85, 221.7, 231.4, 254.9, 259.9, 273.0, 286.55, 302.35, 321.5, 336.05, 338.6, 351.65, 360.05, 382.75, 397.65, 432.45, 446.2, 456.6, 507.4, 522.35, 528.1, 541.05, 560.0, 561.75, 613.0, 629.65, 644.3, 844.4, 855.25, 890.5, 979.85, 994.75, 1053.25, 1085.1, 1087.35, 1193.35, 1199.85, 1314.8, 1316.8, 1323.65, 1335.4, 1343.2, 1499.1, 1561.5, 1565.35, 1603.3, 1703.55, 1713.45, 1825.35, 1854.6, 1857.75, 1955.2, 2021.75, 2029.1, 2031.75, 2206.75, 2220.4, 2229.7, 2250.45, 2385.3, 2387.0, 2389.45, 2403.0, 2405.3, 2450.05, 2618.4, 2624.75, 2630.7, 2696.9, 2714.05, 2785.7, 2856.85, 2859.65, 2959.1, 3014.05, 3028.6, 3072.6, 3096.8, 3113.4, 3243.8, 3247.0, 3254.95, 3441.5, 3563.7]","[111.1, 138.5, 181.25, 221.7, 259.9, 302.35, 338.6, 397.65, 446.2, 541.05, 561.75, 644.3, 855.25, 890.5, 1053.25, 1087.35, 1199.85, 1316.8, 1335.4, 1603.3, 1825.35, 1857.75, 2206.75, 2250.45, 2389.45, 2405.3, 2618.4, 2630.7, 2714.05, 3014.05, 3096.8, 3113.4, 3254.95, 3441.5]"
13,493-2,F,naive,220811,2.0,6,20,24,0.855491,"[26.8, 26.9, 36.9, 41.65, 57.3, 91.5, 121.0, 128.4, 142.75, 150.2, 173.25, 181.0, 246.65, 250.55, 251.2, 263.6, 381.0, 618.85, 624.05, 625.9, 658.6, 1005.0, 1090.4, 1400.35]",[],"[142.75, 181.0, 263.6, 381.0, 658.6, 1400.35]"
9,489-1,M,naive,220811,2.0,13,43,121,0.911017,"[3.2, 16.0, 28.3, 41.1, 56.45, 76.25, 81.3, 105.3, 134.6, 193.3, 225.15, 230.25, 247.7, 322.65, 363.6, 366.85, 386.5, 413.35, 418.25, 421.0, 426.4, 427.55, 444.55, 444.75, 446.5, 448.3, 456.65, 471.3, 518.1, 523.65, 526.05, 528.05, 539.1, 558.5, 588.1, 591.25, 614.65, 628.9, 637.85, 638.85, 638.95, 640.9, 641.05, 657.55, 659.3, 694.65, 703.95, 705.05, 705.95, 710.05, 713.75, 735.95, 815.5, 818.8, 833.4, 861.55, 891.85, 893.75, 920.5, 923.25, 928.7, 948.55, 1000.15, 1033.0, 1035.4, 1089.45, 1091.4, 1114.95, 1121.1, 1123.85, 1147.25, 1317.8, 1320.3, 1374.25, 1376.9, 1379.3, 1381.25, 1436.7, 1437.75, 1490.45, 1500.55, 1503.6, 1746.6, 1751.8, 1754.2, 1909.2, 1911.1, 2120.6, 2207.05, 2207.15, 2320.45, 2351.3, 2355.35, 2372.2, 2441.4, 2444.75, 2496.5, 2531.25, 2533.25, 2580.85, 2585.0, 2681.85, 2682.95, 2713.6, 2733.95, 2735.35, 2799.2, 2884.95, 2891.7, 2922.3, 2924.45, 2977.25, 3230.55, 3404.15, 3425.5, 3450.55, 3453.35, 3463.1, 3475.7, 3575.7, 3589.95]","[3.2, 16.0, 28.3, 41.1, 56.45, 76.25, 81.3, 105.3, 134.6, 225.15, 230.25, 247.7, 456.65, 471.3, 523.65, 591.25, 710.05, 713.75, 735.95, 928.7, 948.55, 1000.15, 1121.1, 1123.85, 1376.9, 1500.55, 1503.6, 1746.6, 1751.8, 2120.6, 2355.35, 2441.4, 2496.5, 2580.85, 2799.2, 2884.95, 2924.45, 2977.25, 3230.55, 3404.15, 3425.5, 3475.7, 3589.95]","[134.6, 247.7, 471.3, 591.25, 735.95, 1000.15, 1123.85, 1503.6, 2120.6, 2496.5, 2884.95, 3230.55, 3475.7]"
40,489-4,M,naive,220811,2.0,5,18,30,0.919679,"[13.8, 24.55, 33.4, 43.7, 57.75, 83.55, 94.85, 158.1, 198.45, 235.25, 244.8, 274.15, 290.35, 315.55, 320.0, 467.5, 520.25, 643.25, 644.4, 645.55, 669.2, 669.6, 671.0, 704.0, 708.85, 997.95, 1003.7, 1017.05, 1126.15, 1137.25]",[],"[158.1, 274.15, 320.0, 520.25, 1137.25]"
23,498-2,M,stress,220811,2.0,16,53,89,0.812245,"[47.25, 61.3, 81.25, 92.0, 109.7, 126.35, 139.95, 140.15, 157.4, 160.35, 162.4, 162.85, 176.0, 176.25, 177.5, 188.3, 198.7, 204.7, 206.95, 245.6, 246.75, 249.4, 265.55, 276.25, 300.7, 306.9, 327.0, 343.75, 352.65, 353.55, 367.65, 380.05, 433.75, 465.15, 558.2, 562.4, 635.85, 654.45, 672.55, 752.4, 760.25, 760.95, 794.65, 811.75, 927.65, 1116.4, 1262.65, 1303.95, 1425.75, 1702.15, 1930.05, 1930.4, 1952.95, 1961.85, 2266.35, 2580.55, 2635.75, 2717.6, 2767.05, 2774.1, 2785.9, 2786.1, 2788.05, 2791.3, 2796.45, 2798.85, 2800.8, 2838.65, 2899.3, 2904.65, 2951.55, 2956.7, 2957.05, 2962.3, 2963.05, 2975.85, 2999.15, 3010.95, 3038.8, 3110.05, 3118.05, 3349.65, 3453.1, 3469.3, 3483.5, 3511.4, 3544.85, 3550.5, 3574.5]",[],"[157.4, 198.7, 276.25, 327.0, 380.05, 562.4, 672.55, 794.65, 927.65, 1303.95, 1702.15, 1961.85, 2717.6, 2904.65, 3118.05, 3483.5]"
54,579-1,F,stress,230720,2.0,19,54,115,0.881159,"[18.44, 39.77, 50.54, 77.43, 98.39, 137.55, 157.16, 161.42, 168.66, 273.94, 414.6, 462.92, 493.53, 502.96, 536.15, 560.36, 564.05, 566.17, 571.26, 581.11, 585.72, 645.54, 660.63, 694.12, 720.54, 723.8, 728.48, 730.46, 731.73, 734.19, 734.91, 737.65, 739.91, 741.97, 744.82, 746.93, 749.58, 751.85, 752.67, 753.77, 760.0, 762.54, 844.74, 875.04, 902.87, 938.72, 975.84, 1005.45, 1092.98, 1117.37, 1117.45, 1126.85, 1172.15, 1217.09, 1307.17, 1307.37, 1361.29, 1383.87, 1412.27, 1419.23, 1464.22, 1471.84, 1475.04, 1476.75, 1478.26, 1480.05, 1482.08, 1482.9, 1486.96, 1502.91, 1542.68, 1547.28, 1548.6, 1550.08, 1554.61, 1558.01, 1580.77, 1640.84, 1643.32, 1651.05, 1652.76, 1656.38, 1657.96, 1659.35, 1659.65, 1660.75, 1668.09, 1669.67, 1673.43, 1678.99, 1681.57, 1682.8, 1683.23, 1684.81, 1685.5, 1686.55, 1687.66, 1690.66, 1739.04, 1741.43, 1743.3, 1744.7, 1745.06, 1746.34, 1747.13, 1759.01, 1771.17, 1773.35, 1781.07, 1781.31, 1832.41, 1914.39, 1918.94, 1995.23, 2369.08]","[18.44, 39.77, 50.54, 77.43, 98.39, 137.55, 157.16, 168.66, 273.94, 414.6, 462.92, 493.53, 502.96, 536.15, 560.36, 581.11, 585.72, 645.54, 660.63, 694.12, 720.54, 723.8, 760.0, 762.54, 844.74, 875.04, 902.87, 938.72, 975.84, 1005.45, 1092.98, 1117.37, 1126.85, 1172.15, 1217.09, 1307.17, 1361.29, 1383.87, 1412.27, 1419.23, 1502.91, 1542.68, 1640.84, 1643.32, 1678.99, 1739.04, 1741.43, 1771.17, 1773.35, 1832.41, 1914.39, 1918.94, 1995.23, 2369.08]","[18.44, 39.77, 77.43, 157.16, 168.66, 273.94, 560.36, 660.63, 723.8, 762.54, 975.84, 1126.85, 1217.09, 1419.23, 1643.32, 1773.35, 1832.41, 1995.23, 2369.08]"
